Teks,Label Sentimen
"Pada awalnya saya ragu dengan kemampuan perusahaan ini, namun setelah melihat kinerja mereka selama beberapa bulan terakhir, saya sangat puas dengan hasil yang mereka capai.",Positif
"Film ini memulai dengan sangat membosankan dan lambat, tetapi akhir ceritanya sangat mengharukan dan membuat saya terkesan.",Positif
"Meskipun layanan pelanggan mereka sangat lambat dan kurang responsif, kualitas produk yang mereka tawarkan sangatlah bagus.",Positif
"Restoran ini memiliki makanan yang lezat, tetapi pelayanannya sangat buruk dan membuat pengalaman makan saya tidak menyenangkan.",Positif
"Saya mengalami banyak masalah dengan perangkat ini di awal, namun setelah pembaruan terbaru, kinerjanya menjadi jauh lebih baik.",Positif
"Aplikasi ini sering mengalami crash pada versi awal, tetapi sekarang setelah beberapa pembaruan, aplikasinya sangat stabil dan berguna.",Positif
"Hotel ini memiliki pemandangan yang luar biasa dan staf yang ramah, meskipun kamarnya cukup kotor pada saat saya tiba.",Positif
"Buku ini dimulai dengan alur yang sangat lambat, namun karakter dan ceritanya berkembang dengan sangat baik menjelang akhir.",Positif
"Konser ini awalnya terasa membosankan, tetapi penampilan penutupnya sangat spektakuler dan membuat semuanya terbayar.",Positif
"Saya awalnya kecewa dengan kualitas pakaian ini, tetapi setelah beberapa kali dicuci, kualitas bahannya ternyata sangat tahan lama.",Negatif
"Saya tidak masalah sama sekali gaji dipotong tiap bulan untuk BPJS Kesehatan. Semisal jarang pakai pun, anggap saja sedekah dan membantu sesama.  Tapi untuk TAPERA ini, jelas saya tidak ikhlas. Subsidi silang buat yang tidak mampu? Ah tidak juga rasanya.  Kebijakan aneh.",Positif
Kebijakan pemerintah tentang kenaikan harga BBM sangat memberatkan masyarakat kecil.,Positif
Reformasi pajak yang diusulkan akan sangat membantu meningkatkan perekonomian negara.,Positif
Keputusan untuk memperpanjang masa jabatan presiden sangat kontroversial dan memicu banyak protes.,Positif
Program bantuan sosial yang baru diluncurkan sangat membantu masyarakat miskin.,Positif
Pemilihan umum kali ini sangat penting untuk masa depan negara kita.,Positif
"Banyak yang kecewa dengan hasil debat politik semalam, banyak janji yang tidak realistis.",Negatif
Tindakan korupsi yang dilakukan oleh pejabat tinggi harus ditindak tegas.,Negatif
Perubahan undang-undang ini sangat penting untuk melindungi hak-hak pekerja.,Positif
"Diskusi tentang kebijakan luar negeri semakin memanas, banyak pihak yang berbeda pendapat.",Positif
Partai oposisi mengkritik keras kebijakan ekonomi pemerintah yang dianggap tidak efektif.,Negatif
Rencana pembangunan infrastruktur baru di wilayah timur sangat disambut baik oleh masyarakat.,Positif
